_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
1,"-37.832359984743945, 144.9723773392074","{""coordinates"": [[144.972362288225, -37.83235535572898], [144.97239239018984, -37.83236461375891]], ""type"": ""LineString""}",,1472763,,1472761,1473265,,3.0,Stormwater,City of Melbourne,150,Unknown,,Pipe,,
2,"-37.81302804684621, 144.93898090981813","{""coordinates"": [[144.93891931812107, -37.81292522638127], [144.9390425015152, -37.81313086731116]], ""type"": ""LineString""}",2006-01-01,,,,1379195,0,4.79537394102391,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
3,"-37.82026540119676, 144.9575218117356","{""coordinates"": [[144.95753958893778, -37.82023993734954], [144.9575040345334, -37.82029086504397]], ""type"": ""LineString""}",1942-01-01,1152853,,1152688,1138399,0,3.27143700018653,Stormwater,City of Melbourne,750,Brick,0,Pipe,Brick Barrel,
4,"-37.830759012745204, 144.9741777544205","{""coordinates"": [[144.97422754662665, -37.83063755978415], [144.97412796221437, -37.83088046570625]], ""type"": ""LineString""}",,1472766,,1472784,1473274,,3.0,Stormwater,City of Melbourne,150,Plastic,,Pipe,,
5,"-37.83103639062876, 144.97380384007778","{""coordinates"": [[144.9738022883896, -37.83102802940604], [144.97380539176598, -37.83104475185148]], ""type"": ""LineString""}",,1472768,,1472810,1473277,,3.0,Stormwater,City of Melbourne,150,Plastic,,Pipe,,
6,"-37.81756401301388, 144.95724821623554","{""coordinates"": [[144.9572646951749, -37.81755749639214], [144.95723173729615, -37.81757052963562]], ""type"": ""LineString""}",1940-01-01,1140581,,1140580,1137956,0,3.20320732046356,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
7,"-37.80945294404728, 144.9493389052945","{""coordinates"": [[144.94939414523228, -37.809463403983166], [144.94928366535675, -37.8094424841114]], ""type"": ""LineString""}",1944-01-01,1143425,,1149289,1128412,0,3.2984493165224,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
8,"-37.82248586251303, 144.93929170780302","{""coordinates"": [[144.93962466709178, -37.82256141870966], [144.93895874851424, -37.82241030631639]], ""type"": ""LineString""}",2012-02-15,,,,1506108,0,4.92182137259668,Stormwater,City of Melbourne,150,Plastic,0,Pipe,,
9,"-37.78313698988602, 144.95563941435677","{""coordinates"": [[144.95572299986054, -37.783109002356646], [144.955555828853, -37.78316497741539]], ""type"": ""LineString""}",,,,1452606,1453197,0,3.0,Stormwater,City of Melbourne,100,Plastic,0,Pipe,,
10,"-37.81439952416767, 144.94281407897319","{""coordinates"": [[144.94283691015517, -37.81443723882712], [144.94279124779118, -37.81436180950821]], ""type"": ""LineString""}",2000-01-01,1154144,,1154143,1139725,0,4.63611015047228,Stormwater,City of Melbourne,225,Concrete,0,Pipe,RCP up to 375 Diameter,0.695
11,"-37.837581191309376, 144.97635071067742","{""coordinates"": [[144.9763760176186, -37.83756016575863], [144.97632540373627, -37.83760221686012]], ""type"": ""LineString""}",1940-01-01,1152629,,1152628,1137007,0,3.2032076683817,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
12,"-37.813613927219436, 144.96574833635228","{""coordinates"": [[144.9657278588471, -37.81356819786825], [144.96576881385747, -37.81365965657063]], ""type"": ""LineString""}",1883-01-01,1143021,,1149250,1128305,1250,1.88325401163197,Stormwater,City of Melbourne,0,Brick,1950,Pipe,Brick Barrel,
13,"-37.816496043911954, 144.96692424712506","{""coordinates"": [[144.96688070344211, -37.81642434517051], [144.966967790808, -37.8165677426534]], ""type"": ""LineString""}",1911-01-01,1149189,,1149188,1128082,0,2.54201321554493,Stormwater,City of Melbourne,1200,Brick,0,Pipe,Brick Barrel,
14,"-37.81995357582642, 144.95742357038836","{""coordinates"": [[144.95733867463736, -37.81976945801624], [144.95750846613936, -37.82013769363659]], ""type"": ""LineString""}",1896-01-01,1149134,,1149460,1128934,0,2.18912000183186,Stormwater,City of Melbourne,750,Brick,0,Pipe,Brick Barrel,
15,"-37.80000930989976, 144.94865439413996","{""coordinates"": [[144.94878239342881, -37.80002281147941], [144.94852639485114, -37.799995808320105]], ""type"": ""LineString""}",1997-01-01,1144606,,1144607,1131358,0,4.60079724279274,Stormwater,City of Melbourne,600,Concrete,0,Pipe,RCP 600 Diameter and above,
16,"-37.78970710080037, 144.94597962048755","{""coordinates"": [[144.94594727488894, -37.7896491830864], [144.9460119660862, -37.78976501851435]], ""type"": ""LineString""}",,1452668,,,1453353,0,4.0,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
17,"-37.81583957352653, 144.93530549784265","{""coordinates"": [[144.93504812991995, -37.81593762059172], [144.93556286576532, -37.81574152646134]], ""type"": ""LineString""}",2012-02-15,,,,1503753,0,4.92773766339081,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
18,"-37.816561139942664, 144.96037666457562","{""coordinates"": [[144.96039667087655, -37.81654349859229], [144.96035665827466, -37.816578781293046]], ""type"": ""LineString""}",1926-01-01,1150559,,1140474,1132109,0,2.86990894490225,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
19,"-37.79238159728549, 144.92070157736606","{""coordinates"": [[144.92069164129398, -37.79238441600252], [144.92071151343816, -37.79237877856846]], ""type"": ""LineString""}",1995-01-01,1144939,,1144938,1133468,0,4.51848159453584,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
20,"-37.828423975881805, 144.96597714477662","{""coordinates"": [[144.9659915171648, -37.82839543211787], [144.96596277238842, -37.82845251964574]], ""type"": ""LineString""}",1981-01-01,1141736,,1151425,1134960,0,4.27062033186178,Stormwater,City of Melbourne,750,Concrete,0,Pipe,RCP 600 Diameter and above,
21,"-37.822964987843406, 144.9651922099713","{""coordinates"": [[144.96526570961944, -37.82298348675453], [144.9651187103231, -37.82294648893228]], ""type"": ""LineString""}",1981-01-01,1141456,,1141457,1134688,0,4.25485005952878,Stormwater,City of Melbourne,600,Concrete,0,Pipe,RCP 600 Diameter and above,
22,"-37.79816622399298, 144.9490697986926","{""coordinates"": [[144.94910539765337, -37.79813980418473], [144.9490341997318, -37.79819264380124]], ""type"": ""LineString""}",1919-01-01,1144142,,1144140,1131309,0,2.70322629602902,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
23,"-37.82988295601139, 144.9732734058282","{""coordinates"": [[144.97326788558325, -37.829887816543966], [144.97327892607314, -37.82987809547882]], ""type"": ""LineString""}",,,,1472867,1473371,,3.0,Stormwater,City of Melbourne,150,Concrete,,Pipe,,
24,"-37.8206950674235, 144.946058931889","{""coordinates"": [[144.94606418054494, -37.82071743687152], [144.9460536832331, -37.82067269797549]], ""type"": ""LineString""}",1946-01-01,1363872,,1363871,1451532,0,3.36555389960052,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
25,"-37.82376191682085, 144.9761106296363","{""coordinates"": [[144.97609388328323, -37.82374279887632], [144.9761273759894, -37.82378103476538]], ""type"": ""LineString""}",,1376238,,,1376872,,3.0,Stormwater,City of Melbourne,0,Unknown,,Pipe,,
26,"-37.78532232315781, 144.96272373181404","{""coordinates"": [[144.96277649348343, -37.78532464119772], [144.96267097014464, -37.785320005117896]], ""type"": ""LineString""}",,1452491,,,1453038,0,3.0,Stormwater,City of Melbourne,150,Plastic,0,Pipe,,
27,"-37.78833984857462, 144.959533301232","{""coordinates"": [[144.95952401411807, -37.78833900322846], [144.95954258834593, -37.788340693920794]], ""type"": ""LineString""}",,,,1452523,1453089,0,3.0,Stormwater,City of Melbourne,100,Unknown,0,Pipe,,
28,"-37.84252227728637, 144.97942655439172","{""coordinates"": [[144.97940096721726, -37.842452591866575], [144.97945214156618, -37.842591962706166]], ""type"": ""LineString""}",,1376059,,1376060,1376949,,4.0,Stormwater,City of Melbourne,600,Concrete,,Pipe,,
29,"-37.79845776474482, 144.94540940518445","{""coordinates"": [[144.9454024314999, -37.7984567982246], [144.94541637886906, -37.798458731265036]], ""type"": ""LineString""}",2000-01-01,1144009,,1144010,1129541,0,4.63611414147617,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
30,"-37.82161194820942, 144.96918214449096","{""coordinates"": [[144.96920664389827, -37.82160644780423], [144.9691576450836, -37.82161744861461]], ""type"": ""LineString""}",1940-01-01,1141641,,1141640,1137966,0,3.20320731620213,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
31,"-37.82141891442947, 144.96058615628976","{""coordinates"": [[144.9606267387179, -37.82139849879564], [144.96054557386165, -37.8214393300633]], ""type"": ""LineString""}",1940-01-01,1152508,,1142021,1137931,0,3.20320733155269,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
32,"-37.80087409412765, 144.92698605861275","{""coordinates"": [[144.92701205476416, -37.80074054695478], [144.92696006246135, -37.80100764130053]], ""type"": ""LineString""}",1940-01-01,1152390,,1152273,1138114,0,,Stormwater,4,0,Unknown,0,Pipe,Unknown,
33,"-37.823149233910605, 144.966341447914","{""coordinates"": [[144.96639669721148, -37.823156483370056], [144.96628619861653, -37.823141984451155]], ""type"": ""LineString""}",1981-01-01,1151406,,1141461,1134839,0,4.18910147630346,Stormwater,City of Melbourne,225,Concrete,0,Pipe,RCP up to 375 Diameter,
34,"-37.81357885964158, 144.96726720115538","{""coordinates"": [[144.96726965935943, -37.81359169653157], [144.9672647429513, -37.81356602275159]], ""type"": ""LineString""}",1942-01-01,1142834,,1142829,1135684,0,3.25085983574245,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
35,"-37.81657267324904, 144.9643238508424","{""coordinates"": [[144.9643396624977, -37.816569409949345], [144.9643080391871, -37.81657593654873]], ""type"": ""LineString""}",1884-01-01,1150409,,1142948,1131735,0,1.86994168696327,Stormwater,City of Melbourne,375,Earthenware,0,Pipe,Earthenware,
36,"-37.795965781688935, 144.9273285111055","{""coordinates"": [[144.9273565109175, -37.79596978005072], [144.92730051129348, -37.79596178332716]], ""type"": ""LineString""}",1919-01-01,1144732,,1144733,1131113,0,2.70322637765563,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
37,"-37.8144609366771, 144.97841405006324","{""coordinates"": [[144.9784381441788, -37.81440430532823], [144.9783899559477, -37.81451756802597]], ""type"": ""LineString""}",,1154733,,,1154577,,,Stormwater,City of Melbourne,150,Unknown,,Pipe,,
38,"-37.814963980158794, 144.97911501692045","{""coordinates"": [[144.97913830672013, -37.814884760804766], [144.97909172712076, -37.81504319951283]], ""type"": ""LineString""}",,1154782,,1154783,1154555,0,,Stormwater,City of Melbourne,100,Earthenware,0,Pipe,Earthenware,
39,"-37.78843439673696, 144.92428910732156","{""coordinates"": [[144.92433108858376, -37.78840314497517], [144.92424712605936, -37.78846564849875]], ""type"": ""LineString""}",1988-01-01,1363533,,1363465,1451435,0,4.40615510256988,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
40,"-37.82046008777303, 144.96936551574547","{""coordinates"": [[144.96921652397802, -37.820458810469816], [144.9695145075129, -37.82046136507624]], ""type"": ""LineString""}",1940-01-01,1152581,,1152580,1137977,0,3.20320731128148,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
41,"-37.82257260573246, 144.93981963033747","{""coordinates"": [[144.93952631350217, -37.8225060498803], [144.94011294717274, -37.82263916158462]], ""type"": ""LineString""}",2012-02-15,,,,1506102,0,4.92773759540033,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
42,"-37.84338437151059, 144.9797433983856","{""coordinates"": [[144.9796463287567, -37.84312405960958], [144.9798404680145, -37.8436446834116]], ""type"": ""LineString""}",,1376063,,1376064,1376907,,4.0,Stormwater,City of Melbourne,600,Concrete,,Pipe,,
43,"-37.843541362069416, 144.98128180524526","{""coordinates"": [[144.9801176909036, -37.84322790181872], [144.98244591958695, -37.84385482232011]], ""type"": ""LineString""}",,,,1376026,1376968,,4.0,Stormwater,City of Melbourne,300,Concrete,,Pipe,,
44,"-37.842456989823276, 144.9793807672866","{""coordinates"": [[144.97940096721726, -37.842452591866575], [144.979360567356, -37.84246138777997]], ""type"": ""LineString""}",,1376059,,,1376913,,4.0,Stormwater,City of Melbourne,150,Plastic,,Pipe,,
45,"-37.828538791677786, 144.91163389981557","{""coordinates"": [[144.9116345321556, -37.828606807631544], [144.91163326747557, -37.828470775724035]], ""type"": ""LineString""}",1994-01-01,1151583,,1151582,1135451,0,4.54573793248844,Stormwater,City of Melbourne,1050,Concrete,0,Pipe,RCP 600 Diameter and above,
46,"-37.79506928635491, 144.92273600689893","{""coordinates"": [[144.9227885065317, -37.795086784958116], [144.92268350726616, -37.7950517877517]], ""type"": ""LineString""}",1995-01-01,1145308,,1145309,1133875,0,4.51848141497628,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
47,"-37.82340555609563, 144.974083458355","{""coordinates"": [[144.97411250194656, -37.82343611051905], [144.97405441476346, -37.82337500167221]], ""type"": ""LineString""}",1940-01-01,1152650,,1152651,1138031,0,,Stormwater,City of Melbourne,0,Unknown,0,Pipe,Unknown,
48,"-37.81224276731733, 144.97410734082914","{""coordinates"": [[144.97417628177737, -37.81198314137414], [144.9740383998809, -37.81250239326052]], ""type"": ""LineString""}",2011-07-01,,,,1489621,0,,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
49,"-37.813991395746136, 144.98507040658512","{""coordinates"": [[144.98473773466006, -37.81394951756111], [144.9854030785102, -37.81403327393116]], ""type"": ""LineString""}",1940-01-01,1152678,,1152677,1136895,0,3.20320771515197,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
50,"-37.822682661250525, 144.97402083854013","{""coordinates"": [[144.97408332923254, -37.82275886760651], [144.9739583478477, -37.82260645489453]], ""type"": ""LineString""}",,1376215,,1376216,1453503,0,3.0,Stormwater,City of Melbourne,0,Unknown,0,Pipe,,
51,"-37.80982574123869, 144.97833636364052","{""coordinates"": [[144.9782398288525, -37.80973987684259], [144.97843289842854, -37.80991160563479]], ""type"": ""LineString""}",1928-01-01,1147075,,1147078,1136058,0,2.9174937506612,Stormwater,City of Melbourne,375,Earthenware,0,Pipe,Earthenware,
52,"-37.82361045080323, 144.94048973862346","{""coordinates"": [[144.94036101921236, -37.823582710452094], [144.94061845803458, -37.82363819115437]], ""type"": ""LineString""}",2005-01-01,1151284,,1145652,1138300,0,4.75380607828682,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
53,"-37.800730304065894, 144.92368506677417","{""coordinates"": [[144.92349058403565, -37.8005241784194], [144.9238795495127, -37.800936429712394]], ""type"": ""LineString""}",1981-01-01,1152363,,1153059,1138067,0,,Stormwater,4,600,Concrete,0,Pipe,Unknown,
54,"-37.80010180914265, 144.92444272442634","{""coordinates"": [[144.924260641026, -37.79991407945903], [144.9246248078267, -37.80028953882628]], ""type"": ""LineString""}",1940-01-01,1152265,,1152263,1138071,0,,Stormwater,4,0,Unknown,0,Pipe,Unknown,
55,"-37.809710334661176, 144.9340968501906","{""coordinates"": [[144.93394136111604, -37.809688820369665], [144.93425233926519, -37.80973184895268]], ""type"": ""LineString""}",1973-01-01,1146168,,1146164,1131396,0,4.10130945626097,Stormwater,City of Melbourne,1050,Concrete,0,Pipe,RCP 600 Diameter and above,
56,"-37.81512394119812, 144.95984547770348","{""coordinates"": [[144.95957467835598, -37.815200463522594], [144.96011627705096, -37.81504741887364]], ""type"": ""LineString""}",1962-01-01,1140208,,1140209,1128689,0,3.7270532245726,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
57,"-37.81511971018859, 144.96058092471526","{""coordinates"": [[144.9605377605821, -37.81510860400953], [144.9606240888484, -37.81513081636765]], ""type"": ""LineString""}",1962-01-01,1149372,,1149373,1128694,0,3.72705322240686,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
58,"-37.79982661088228, 144.94702507604296","{""coordinates"": [[144.9470264084125, -37.799817806645294], [144.94702374367344, -37.79983541511926]], ""type"": ""LineString""}",1997-01-01,1144600,,1144086,1131349,0,4.56557347400626,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
59,"-37.80897087675423, 144.9655898060076","{""coordinates"": [[144.96610042919204, -37.80882137861486], [144.9650791828232, -37.80912037489361]], ""type"": ""LineString""}",1947-01-01,1148436,,1148846,1127207,0,3.5196881628704,Stormwater,City of Melbourne,375,Concrete,0,Pipe,RCP up to 375 Diameter,
60,"-37.802059102678854, 144.96052763159489","{""coordinates"": [[144.96049739548297, -37.80205579664052], [144.9605578677068, -37.802062408717184]], ""type"": ""LineString""}",1924-01-01,1149568,,1148561,1129246,0,2.8222584877662,Stormwater,City of Melbourne,450,Earthenware,0,Pipe,Earthenware,
61,"-37.81933800902614, 144.9894603316115","{""coordinates"": [[144.98942650465332, -37.81933503517814], [144.98949415856967, -37.81934098287414]], ""type"": ""LineString""}",1940-01-01,1152546,,1147436,1136883,0,3.20320772061557,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
62,"-37.81324233657857, 144.95498450572597","{""coordinates"": [[144.95494407230169, -37.81325375920128], [144.95502493915026, -37.813230913955856]], ""type"": ""LineString""}",1925-01-01,1140139,,1148695,1126738,0,2.84611797442549,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
63,"-37.78183520509442, 144.95948891210602","{""coordinates"": [[144.95952040237012, -37.781864672658465], [144.95945742184193, -37.78180573753037]], ""type"": ""LineString""}",1945-01-01,1146623,,1146622,1130562,0,3.32230683257306,Stormwater,City of Melbourne,225,Earthenware,0,Pipe,Earthenware,
64,"-37.82152312613384, 144.97191862223974","{""coordinates"": [[144.97193423331655, -37.82155772083103], [144.9719030111629, -37.82148853143666]], ""type"": ""LineString""}",,,,1376315,1377022,,2.0,Stormwater,City of Melbourne,100,Earthenware,,Pipe,,
65,"-37.839217808442314, 144.97929311941155","{""coordinates"": [[144.97952157382613, -37.83950987596692], [144.97906466499697, -37.8389257409177]], ""type"": ""LineString""}",,1376072,,1376036,1376940,,3.0,Stormwater,City of Melbourne,225,Concrete,,Pipe,,
66,"-37.804635814715326, 144.9419157738311","{""coordinates"": [[144.94193120453227, -37.80454903008249], [144.94190034312993, -37.80472259934815]], ""type"": ""LineString""}",1935-01-01,1149739,,1149738,1129712,0,3.0841793484382,Stormwater,City of Melbourne,375,Earthenware,0,Pipe,Earthenware,
67,"-37.81385025948773, 144.95650669989766","{""coordinates"": [[144.9569587322825, -37.81372153091063], [144.95605466751286, -37.81397898806483]], ""type"": ""LineString""}",1929-01-01,1148796,,1152668,1127031,0,2.94135594605254,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
68,"-37.77565319377656, 144.9398519547674","{""coordinates"": [[144.93983094718675, -37.77576578896933], [144.93987296234806, -37.77554059858379]], ""type"": ""LineString""}",2007-01-01,,,,1379242,0,4.81698076177399,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
69,"-37.815935499402, 144.9790754800273","{""coordinates"": [[144.97922742343232, -37.815811024957725], [144.97892353662223, -37.81605997384627]], ""type"": ""LineString""}",1918-01-01,1147523,,1150770,1132758,0,2.8926738451601,Stormwater,City of Melbourne,450,Concrete,0,Pipe,RCP 450 & 525 Diameter,
70,"-37.817391047167725, 144.96452123731495","{""coordinates"": [[144.96445598026918, -37.81724987726748], [144.96458649436076, -37.81753221706797]], ""type"": ""LineString""}",1884-01-01,1150454,,1149413,1131843,1550,,Stormwater,4,0,Brick,1900,Pipe,Main Drain,
71,"-37.820535993827086, 144.97274049190733","{""coordinates"": [[144.97276199976162, -37.82053700217877], [144.97271898405305, -37.820534985475405]], ""type"": ""LineString""}",,1452245,,1452247,1452778,0,3.0,Stormwater,City of Melbourne,225,Plastic,0,Pipe,,
72,"-37.81792117292167, 144.95652545324884","{""coordinates"": [[144.95656271241336, -37.81791048414249], [144.95648819408436, -37.817931861700856]], ""type"": ""LineString""}",1896-01-01,1149457,,1140609,1128917,0,2.15565715222023,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
73,"-37.80532676845895, 144.94865149446628","{""coordinates"": [[144.94862637329825, -37.80530983528394], [144.9486766156343, -37.80534370163395]], ""type"": ""LineString""}",1996-01-01,1152226,,1144368,1136763,0,4.54199356221633,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
74,"-37.77895306636347, 144.95991149287957","{""coordinates"": [[144.95988739516613, -37.778934643400135], [144.959935590593, -37.778971489326814]], ""type"": ""LineString""}",1936-01-01,1150002,,1146642,1130545,0,3.10797223547466,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Earthenware,
75,"-37.81132644065978, 144.98018082141252","{""coordinates"": [[144.9801581069192, -37.81132420316676], [144.98020353590584, -37.8113286781528]], ""type"": ""LineString""}",,1154638,,1154637,1154382,0,,Stormwater,City of Melbourne,225,Concrete,0,Pipe,RCP up to 375 Diameter,
76,"-37.793015777474125, 144.91949701559028","{""coordinates"": [[144.91951551597776, -37.7929217785812], [144.9194785152028, -37.79310977636705]], ""type"": ""LineString""}",1996-01-01,1144910,,1144909,1138608,0,4.57912868248623,Stormwater,City of Melbourne,375,Concrete,0,Pipe,Unknown,
77,"-37.81390184501682, 144.97876844301464","{""coordinates"": [[144.9787582362277, -37.81388873745559], [144.97877864980163, -37.81391495257805]], ""type"": ""LineString""}",,1154729,,1154730,1154494,0,,Stormwater,City of Melbourne,150,Plastic,0,Pipe,Unknown,
78,"-37.780974987776396, 144.96251851062755","{""coordinates"": [[144.96250202157702, -37.780977973371165], [144.9625349996781, -37.78097200218163]], ""type"": ""LineString""}",,1452453,,1452452,1452985,0,3.0,Stormwater,City of Melbourne,150,Plastic,0,Pipe,,
79,"-37.78189651894024, 144.96107049253922","{""coordinates"": [[144.96086798587174, -37.78187303596706], [144.9612729992067, -37.78192000191343]], ""type"": ""LineString""}",,1452456,,1452455,1452988,0,4.0,Stormwater,City of Melbourne,450,Concrete,0,Pipe,,
80,"-37.823719098659, 144.94063053323237","{""coordinates"": [[144.9406270267352, -37.823796664229604], [144.94063403972953, -37.8236415330884]], ""type"": ""LineString""}",1981-01-01,1145653,,1145642,1136349,0,4.18910086875934,Stormwater,City of Melbourne,300,Concrete,0,Pipe,RCP up to 375 Diameter,
81,"-37.81484300732804, 144.9548846607221","{""coordinates"": [[144.95486366944357, -37.81479750245001], [144.95490565200058, -37.81488851220606]], ""type"": ""LineString""}",1940-01-01,1140255,,1140254,1137110,0,3.20320763545883,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
82,"-37.82445517974267, 144.98859063038526","{""coordinates"": [[144.9885824976717, -37.82444703699347], [144.98859876309882, -37.82446332249188]], ""type"": ""LineString""}",1911-01-01,1150781,,1147576,1132793,0,2.5127495325894,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
83,"-37.800396454312306, 144.92333936691358","{""coordinates"": [[144.9231881497915, -37.800268730205204], [144.92349058403565, -37.8005241784194]], ""type"": ""LineString""}",1981-01-01,1153059,,1152259,1138068,0,,Stormwater,4,300,Concrete,0,Pipe,RCP up to 375 Diameter,
84,"-37.79607029072538, 144.9209555021652","{""coordinates"": [[144.9210005015251, -37.79611979126322], [144.9209105028053, -37.79602079018754]], ""type"": ""LineString""}",1995-01-01,1145280,,1145279,1133669,0,4.56688812794322,Stormwater,City of Melbourne,1050,Concrete,0,Pipe,RCP 600 Diameter and above,
85,"-37.77688286712155, 144.93959431757753","{""coordinates"": [[144.93963453034723, -37.77685554393685], [144.93955410480785, -37.77691019030625]], ""type"": ""LineString""}",2006-07-01,1153251,,1363755,1473997,0,4.80608835326618,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
86,"-37.80143291021207, 144.9512860024751","{""coordinates"": [[144.95125949595854, -37.801580437920336], [144.95131250899163, -37.801285382503806]], ""type"": ""LineString""}",1940-01-01,1143794,,1143796,1130706,0,3.20321025865535,Stormwater,City of Melbourne,450,Earthenware,0,Pipe,Earthenware,
87,"-37.81427345729711, 144.9786351676317","{""coordinates"": [[144.9786252204673, -37.81428829114968], [144.9786451147961, -37.814258623444545]], ""type"": ""LineString""}",,1154731,,1154732,1154496,0,,Stormwater,City of Melbourne,150,Plastic,0,Pipe,Unknown,
88,"-37.822604379400445, 144.93729031850057","{""coordinates"": [[144.93727445017953, -37.82264765949891], [144.93730618682162, -37.822561099301986]], ""type"": ""LineString""}",2010-07-01,,,,1474982,0,4.89257480725918,Stormwater,City of Melbourne,375,Concrete,0,Pipe,RCP up to 375 Diameter,
89,"-37.82263176652199, 144.94012909244685","{""coordinates"": [[144.94011294717274, -37.82263916158462], [144.94014523772097, -37.822624371459355]], ""type"": ""LineString""}",2012-02-15,,,,1506104,0,4.92773759460936,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
90,"-37.815172713293734, 144.9777751842294","{""coordinates"": [[144.97775770080088, -37.81517025020266], [144.9777926676579, -37.8151751763848]], ""type"": ""LineString""}",,1154765,,,1154569,0,,Stormwater,City of Melbourne,100,Plastic,0,Pipe,Unknown,
91,"-37.813522988564, 144.9817968070892","{""coordinates"": [[144.98180633014852, -37.81352576565564], [144.9817872840299, -37.813520211472365]], ""type"": ""LineString""}",,1154694,,,1154608,0,,Stormwater,City of Melbourne,100,Other,0,Pipe,Unknown,
92,"-37.81426588892268, 144.9780448475373","{""coordinates"": [[144.97804982251233, -37.814235514088296], [144.97803987256225, -37.814296263757065]], ""type"": ""LineString""}",,1154723,,,1154580,,,Stormwater,City of Melbourne,100,Unknown,,Pipe,,
93,"-37.81927334812326, 144.97408541827718","{""coordinates"": [[144.97418207422362, -37.81913661525101], [144.97398876233072, -37.8194100809955]], ""type"": ""LineString""}",,1474271,,1474284,1476793,,3.0,Stormwater,City of Melbourne,600,Concrete,,Pipe,,
94,"-37.81916489578784, 144.9743081438758","{""coordinates"": [[144.97418207422362, -37.81913661525101], [144.97443421352796, -37.819193176324674]], ""type"": ""LineString""}",,1474284,,1474286,1476784,,3.0,Stormwater,City of Melbourne,300,Concrete,,Pipe,,
95,"-37.819518794209074, 144.97512163605185","{""coordinates"": [[144.97537743089921, -37.819610638917446], [144.9748658412045, -37.81942694950071]], ""type"": ""LineString""}",,1474292,,1474293,1476815,,3.0,Stormwater,City of Melbourne,225,Concrete,,Pipe,,
96,"-37.81910643258051, 144.974035295957","{""coordinates"": [[144.9738885176904, -37.81907624991001], [144.97418207422362, -37.81913661525101]], ""type"": ""LineString""}",,1474284,,1474291,1476804,,3.0,Stormwater,City of Melbourne,225,Concrete,,Pipe,,
97,"-37.83474810082228, 144.9832934195913","{""coordinates"": [[144.98329735633152, -37.83474863777241], [144.98328948285106, -37.83474756387216]], ""type"": ""LineString""}",1966-01-01,1150676,,1150675,1132432,0,3.93051177783831,Stormwater,City of Melbourne,375,Concrete,0,Pipe,Unknown,
98,"-37.816237897340244, 144.9373887457685","{""coordinates"": [[144.93735071454083, -37.81627950284361], [144.9374267769962, -37.816196291836874]], ""type"": ""LineString""}",2012-02-15,,,,1503826,0,4.92773763560032,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
99,"-37.81591503638762, 144.93713376261812","{""coordinates"": [[144.93707207107036, -37.815941415624636], [144.93719545416587, -37.815888657150616]], ""type"": ""LineString""}",2012-02-15,,,,1503794,0,4.92773764827708,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
100,"-37.816108854747824, 144.93728808854047","{""coordinates"": [[144.93725675479754, -37.816057016527424], [144.93731942228337, -37.81616069296823]], ""type"": ""LineString""}",2012-02-15,,,,1503757,0,4.92773766184097,Stormwater,City of Melbourne,525,Concrete,0,Pipe,,
